name,lon,lat,height
RX_160,-0.092612,52.804522,1.5
RX_161,-0.092568,52.804539,1.5
RX_162,-0.092524,52.804557,1.5
RX_163,-0.092479,52.804574,1.5
RX_164,-0.092459,52.804583,1.5
RX_165,-0.092417,52.804601,1.5
RX_166,-0.092376,52.804619,1.5
RX_167,-0.092335,52.804637,1.5
RX_168,-0.092317,52.804645,1.5
RX_169,-0.092277,52.804664,1.5
RX_170,-0.092238,52.804683,1.5
RX_171,-0.092199,52.804702,1.5
RX_172,-0.092183,52.80471,1.5
RX_173,-0.092144,52.804732,1.5
RX_174,-0.092104,52.804754,1.5
RX_175,-0.092064,52.804776,1.5
RX_176,-0.092048,52.804784,1.5
RX_177,-0.092009,52.804807,1.5
RX_178,-0.09197,52.80483,1.5
RX_179,-0.091931,52.804853,1.5
RX_180,-0.091905,52.804868,1.5
RX_181,-0.091876,52.804884,1.5
RX_182,-0.091835,52.804907,1.5
RX_183,-0.091795,52.804928,1.5
RX_184,-0.091755,52.80495,1.5
RX_185,-0.091738,52.804959,1.5
RX_186,-0.091695,52.804982,1.5
RX_187,-0.091653,52.805005,1.5
RX_188,-0.091609,52.805028,1.5
RX_189,-0.091593,52.805037,1.5
RX_190,-0.09155,52.805058,1.5
RX_191,-0.091507,52.805079,1.5
RX_192,-0.091465,52.8051,1.5
RX_193,-0.091445,52.80511,1.5
RX_194,-0.091407,52.805128,1.5
RX_195,-0.091364,52.805148,1.5
RX_196,-0.091322,52.805168,1.5
RX_197,-0.091282,52.805187,1.5
RX_198,-0.091262,52.805195,1.5
RX_199,-0.091217,52.805214,1.5
RX_200,-0.091172,52.805234,1.5
RX_201,-0.091127,52.805253,1.5
RX_202,-0.09111,52.80526,1.5
RX_203,-0.091062,52.805275,1.5
RX_204,-0.091013,52.805291,1.5
RX_205,-0.090964,52.805307,1.5
RX_206,-0.090923,52.80532,1.5
RX_207,-0.090897,52.805327,1.5
RX_208,-0.090847,52.80534,1.5
RX_209,-0.090797,52.805352,1.5
RX_210,-0.090748,52.805365,1.5
RX_211,-0.090728,52.80537,1.5
RX_212,-0.090678,52.805379,1.5
RX_213,-0.090627,52.805388,1.5
RX_214,-0.090575,52.805397,1.5
RX_215,-0.090527,52.805405,1.5
RX_216,-0.090505,52.805408,1.5
RX_217,-0.090453,52.805414,1.5
RX_218,-0.090401,52.805421,1.5
RX_219,-0.090348,52.805428,1.5
RX_220,-0.090318,52.805432,1.5
RX_221,-0.090273,52.805436,1.5
RX_222,-0.090218,52.805441,1.5
RX_223,-0.090162,52.805446,1.5
RX_224,-0.090107,52.805451,1.5
RX_225,-0.090088,52.805453,1.5
RX_226,-0.090033,52.805458,1.5
RX_227,-0.089979,52.805463,1.5
RX_228,-0.089925,52.805469,1.5
RX_229,-0.089892,52.805472,1.5
RX_230,-0.08985,52.805477,1.5
RX_231,-0.089794,52.805484,1.5
RX_232,-0.089737,52.805491,1.5
RX_233,-0.089681,52.805497,1.5
RX_234,-0.089661,52.8055,1.5
RX_235,-0.089605,52.805508,1.5
RX_236,-0.089548,52.805515,1.5
RX_237,-0.089491,52.805523,1.5
RX_238,-0.089462,52.805527,1.5
RX_239,-0.089419,52.805535,1.5
RX_240,-0.089367,52.805546,1.5
RX_241,-0.089316,52.805557,1.5
RX_242,-0.089265,52.805567,1.5
RX_243,-0.089247,52.805571,1.5
RX_244,-0.089196,52.805584,1.5
RX_245,-0.089144,52.805597,1.5
RX_246,-0.089093,52.805609,1.5
RX_247,-0.089057,52.805618,1.5
RX_248,-0.089024,52.805627,1.5
RX_249,-0.088975,52.805641,1.5
RX_250,-0.088926,52.805655,1.5
RX_251,-0.088877,52.805668,1.5
RX_252,-0.088859,52.805673,1.5
RX_253,-0.088811,52.805688,1.5
RX_254,-0.088762,52.805704,1.5
RX_255,-0.088713,52.805719,1.5
RX_256,-0.088664,52.805735,1.5
RX_257,-0.088647,52.805741,1.5
RX_258,-0.088598,52.805759,1.5
RX_259,-0.088548,52.805776,1.5
RX_260,-0.088498,52.805794,1.5
RX_261,-0.088463,52.805807,1.5
RX_262,-0.088433,52.805818,1.5
RX_263,-0.088386,52.805836,1.5
RX_264,-0.088339,52.805854,1.5
RX_265,-0.088292,52.805871,1.5
RX_266,-0.088273,52.805878,1.5
RX_267,-0.088232,52.805895,1.5
RX_268,-0.088187,52.805913,1.5
RX_269,-0.088143,52.805931,1.5
RX_270,-0.088098,52.805948,1.5
RX_271,-0.088082,52.805955,1.5
RX_272,-0.088036,52.805973,1.5
RX_273,-0.087989,52.805992,1.5
RX_274,-0.087941,52.806011,1.5
RX_275,-0.087893,52.80603,1.5
RX_276,-0.087879,52.806035,1.5
RX_277,-0.087835,52.806052,1.5
RX_278,-0.087792,52.806069,1.5
RX_279,-0.087747,52.806086,1.5
RX_280,-0.087702,52.806104,1.5
RX_281,-0.087687,52.806109,1.5
RX_282,-0.087639,52.806126,1.5
RX_283,-0.087591,52.806144,1.5
RX_284,-0.087544,52.806161,1.5
RX_285,-0.087497,52.806178,1.5
RX_286,-0.087483,52.806183,1.5
RX_287,-0.087435,52.806201,1.5
RX_288,-0.087386,52.806219,1.5
RX_289,-0.087337,52.806238,1.5
RX_290,-0.08729,52.806255,1.5
RX_291,-0.087275,52.80626,1.5
RX_292,-0.087228,52.806277,1.5
RX_293,-0.087181,52.806294,1.5
RX_294,-0.087134,52.80631,1.5
RX_295,-0.087087,52.806327,1.5
RX_296,-0.087073,52.806332,1.5
RX_297,-0.087028,52.806348,1.5
RX_298,-0.086982,52.806364,1.5
RX_299,-0.086936,52.806381,1.5
RX_300,-0.086889,52.806398,1.5
RX_301,-0.086873,52.806403,1.5
RX_302,-0.086822,52.806423,1.5
RX_303,-0.08677,52.806442,1.5
RX_304,-0.086718,52.806462,1.5
RX_305,-0.086687,52.806473,1.5
RX_306,-0.086652,52.806486,1.5
RX_307,-0.086605,52.806504,1.5
RX_308,-0.086557,52.806523,1.5
RX_309,-0.086509,52.806541,1.5
RX_310,-0.086493,52.806547,1.5
RX_311,-0.086443,52.806566,1.5
RX_312,-0.086394,52.806585,1.5
RX_313,-0.086344,52.806604,1.5
RX_314,-0.086303,52.80662,1.5
RX_315,-0.086279,52.806631,1.5
RX_316,-0.086234,52.80665,1.5
RX_317,-0.086188,52.80667,1.5
RX_318,-0.086143,52.80669,1.5
RX_319,-0.086123,52.806698,1.5
RX_320,-0.086079,52.80672,1.5
RX_321,-0.086033,52.806743,1.5
RX_322,-0.085986,52.806766,1.5
RX_323,-0.085955,52.806782,1.5
RX_324,-0.085929,52.806797,1.5
RX_325,-0.085893,52.806819,1.5
RX_326,-0.085856,52.806841,1.5
RX_327,-0.08582,52.806863,1.5
RX_328,-0.085805,52.806872,1.5
RX_329,-0.085769,52.8069,1.5
RX_330,-0.085732,52.806929,1.5
RX_331,-0.085695,52.806958,1.5
RX_332,-0.085678,52.806972,1.5
RX_333,-0.08565,52.806998,1.5
RX_334,-0.08562,52.807027,1.5
RX_335,-0.08559,52.807055,1.5
RX_336,-0.085568,52.807075,1.5
RX_337,-0.085547,52.807095,1.5
RX_338,-0.085517,52.807125,1.5
RX_339,-0.085487,52.807154,1.5
RX_340,-0.085462,52.807178,1.5
RX_341,-0.08544,52.807196,1.5
RX_342,-0.085405,52.807224,1.5
RX_343,-0.08537,52.807253,1.5
RX_344,-0.085347,52.807272,1.5
RX_345,-0.085317,52.807295,1.5
RX_346,-0.085282,52.807324,1.5
RX_347,-0.085246,52.807352,1.5
RX_348,-0.085229,52.807365,1.5
RX_349,-0.085194,52.807389,1.5
RX_350,-0.085158,52.807412,1.5
RX_351,-0.085122,52.807435,1.5
RX_352,-0.085106,52.807445,1.5
RX_353,-0.085065,52.807469,1.5
RX_354,-0.085023,52.807492,1.5
RX_355,-0.084982,52.807515,1.5
RX_356,-0.084965,52.807525,1.5
RX_357,-0.084928,52.807547,1.5
RX_358,-0.084891,52.807568,1.5
RX_359,-0.084854,52.807588,1.5
RX_360,-0.084839,52.807597,1.5
RX_361,-0.084802,52.807621,1.5
RX_362,-0.084765,52.807645,1.5
RX_363,-0.084729,52.807668,1.5
RX_364,-0.08471,52.80768,1.5
RX_365,-0.084675,52.8077,1.5
RX_366,-0.084636,52.807722,1.5
RX_367,-0.084597,52.807744,1.5
RX_368,-0.084568,52.80776,1.5
RX_369,-0.08454,52.807776,1.5
RX_370,-0.084499,52.8078,1.5
RX_371,-0.084459,52.807824,1.5
RX_372,-0.084433,52.807838,1.5
RX_373,-0.084403,52.807858,1.5
RX_374,-0.084365,52.807882,1.5
RX_375,-0.084327,52.807906,1.5
RX_376,-0.084297,52.807925,1.5
RX_377,-0.084271,52.80794,1.5
RX_378,-0.08423,52.807964,1.5
RX_379,-0.08419,52.807988,1.5
RX_380,-0.084158,52.808007,1.5
RX_381,-0.084131,52.80802,1.5
RX_382,-0.084088,52.808041,1.5
RX_383,-0.084045,52.808061,1.5
RX_384,-0.084007,52.80808,1.5
RX_385,-0.083983,52.808091,1.5
RX_386,-0.083937,52.808113,1.5
RX_387,-0.083892,52.808135,1.5
RX_388,-0.083847,52.808157,1.5
RX_389,-0.083826,52.808166,1.5
RX_390,-0.083779,52.808186,1.5
RX_391,-0.083732,52.808206,1.5
RX_392,-0.083692,52.808223,1.5
RX_393,-0.083664,52.808233,1.5
RX_394,-0.083614,52.808249,1.5
RX_395,-0.083565,52.808266,1.5
RX_396,-0.083517,52.808282,1.5
RX_397,-0.083495,52.808288,1.5
RX_398,-0.083446,52.808303,1.5
RX_399,-0.083397,52.808317,1.5
RX_400,-0.083348,52.808332,1.5
RX_401,-0.083328,52.808339,1.5
RX_402,-0.083282,52.808356,1.5
RX_403,-0.083235,52.808374,1.5
RX_404,-0.083189,52.808391,1.5
RX_405,-0.083168,52.808398,1.5
