name,lon,lat,local_measurement_dBm,path_loss_dB
RX_122,-0.094103,52.803861,-100.4,170.4
RX_123,-0.094053,52.803878,-99.42,169.42000000000002
RX_124,-0.094025,52.803888,-99.84,169.84
RX_125,-0.093987,52.803904,-98.79,168.79000000000002
RX_126,-0.093941,52.803922,-100.88,170.88
RX_127,-0.093894,52.80394,-103.25,173.25
RX_128,-0.093853,52.803957,-102.01,172.01
RX_129,-0.093826,52.803968,-101.92,171.92000000000002
RX_130,-0.093776,52.803989,-104.27,174.26999999999998
RX_131,-0.093725,52.804011,-104.96,174.95999999999998
RX_132,-0.093687,52.804027,-104.95,174.95
RX_133,-0.093654,52.804041,-104.97,174.97
RX_134,-0.093607,52.804062,-105.19,175.19
RX_135,-0.093559,52.804084,-105.4,175.4
RX_136,-0.093527,52.804098,-104.84,174.84
RX_137,-0.093491,52.804116,-104.1,174.1
RX_138,-0.093446,52.804138,-104.75,174.75
RX_139,-0.093401,52.80416,-105.68,175.68
RX_140,-0.093379,52.80417,-104.6,174.6
RX_141,-0.093335,52.804192,-105.3,175.3
RX_142,-0.09329,52.804213,-105.54,175.54000000000002
RX_143,-0.093245,52.804235,-106.74,176.74
RX_144,-0.093217,52.804247,-105.08,175.07999999999998
RX_145,-0.093165,52.804271,-105.3,175.3
RX_146,-0.093112,52.804294,-105.02,175.01999999999998
RX_147,-0.093087,52.804306,-104.3,174.3
RX_148,-0.093044,52.804327,-103.94,173.94
RX_149,-0.093001,52.804348,-102.63,172.63
RX_150,-0.092978,52.804359,-100.42,170.42000000000002
RX_151,-0.092935,52.804381,-99.09,169.09
RX_152,-0.092893,52.804401,-98.07,168.07
RX_153,-0.092865,52.804415,-94.78,164.78
RX_154,-0.092827,52.804432,-95.92,165.92000000000002
RX_155,-0.092783,52.804451,-97.45,167.45
RX_156,-0.09274,52.80447,-94.1,164.1
RX_157,-0.092717,52.804479,-95.31,165.31
RX_158,-0.092676,52.804496,-92.57,162.57
RX_159,-0.092634,52.804513,-93.03,163.03
RX_160,-0.092612,52.804522,-94.62,164.62
RX_161,-0.092568,52.804539,-95.9,165.9
RX_162,-0.092524,52.804557,-92.29,162.29000000000002
RX_163,-0.092479,52.804574,-91.7,161.7
RX_164,-0.092459,52.804583,-92.07,162.07
RX_165,-0.092417,52.804601,-95.11,165.11
RX_166,-0.092376,52.804619,-95.54,165.54000000000002
RX_167,-0.092335,52.804637,-95.1,165.1
RX_168,-0.092317,52.804645,-94.85,164.85
RX_169,-0.092277,52.804664,-94.42,164.42000000000002
RX_170,-0.092238,52.804683,-97.3,167.3
RX_171,-0.092199,52.804702,-98.15,168.15
RX_172,-0.092183,52.80471,-99.09,169.09
RX_173,-0.092144,52.804732,-98.25,168.25
RX_174,-0.092104,52.804754,-98.91,168.91
RX_175,-0.092064,52.804776,-97.02,167.01999999999998
RX_176,-0.092048,52.804784,-98.8,168.8
RX_177,-0.092009,52.804807,-99.5,169.5
RX_178,-0.09197,52.80483,-97.49,167.49
RX_179,-0.091931,52.804853,-95.01,165.01
RX_180,-0.091905,52.804868,-96.04,166.04000000000002
RX_181,-0.091876,52.804884,-98.55,168.55
RX_182,-0.091835,52.804907,-100.6,170.6
RX_183,-0.091795,52.804928,-95.32,165.32
RX_184,-0.091755,52.80495,-94.53,164.53
RX_185,-0.091738,52.804959,-98.39,168.39
RX_186,-0.091695,52.804982,-97.7,167.7
RX_187,-0.091653,52.805005,-100.78,170.78
RX_188,-0.091609,52.805028,-100.11,170.11
RX_189,-0.091593,52.805037,-99.58,169.57999999999998
RX_190,-0.09155,52.805058,-101.68,171.68
