meas_lon,meas_lat,meas_pl_db,matched_rx_name,match_distance_m
-0.0519,51.5517,174.85000000000002,RX_3660,0.0001592435046633987
-0.0518,51.5517,175.79000000000002,RX_3664,0.00011903799338311529
-0.0518,51.5517,175.07,RX_3664,0.00011903799338311529
-0.0518,51.5516,176.18,RX_3666,7.691723969805816e-05
-0.0518,51.5516,175.7,RX_3666,7.691723969805816e-05
-0.0517,51.5516,176.66,RX_3669,0.00010713039942973375
-0.0517,51.5516,176.26,RX_3669,0.00010713039942973375
-0.0518,51.5515,175.87,RX_3670,0.00010781800925110528
-0.0518,51.5515,176.67000000000002,RX_3670,0.00010781800925110528
-0.0518,51.5515,175.54000000000002,RX_3670,0.00010781800925110528
-0.0518,51.5514,177.79000000000002,RX_3673,0.00019156342640208203
-0.0517,51.5514,176.69,RX_3676,0.00021839923433709962
-0.0517,51.5514,175.3,RX_3676,0.00021839923433709962
-0.0517,51.5514,176.55,RX_3676,0.00021839923433709962
-0.0517,51.5513,176.28,RX_3679,0.00015634837238994446
-0.0517,51.5513,176.04000000000002,RX_3679,0.00015634837238994446
-0.0517,51.5513,176.18,RX_3679,0.00015634837238994446
-0.0516,51.5512,175.62,RX_3680,0.00012223946431074988
-0.0516,51.5512,175.89,RX_3680,0.00012223946431074988
-0.0516,51.5511,175.91,RX_3682,0.00013575659295649316
-0.0516,51.5511,175.95,RX_3682,0.00013575659295649316
-0.0516,51.5511,175.06,RX_3682,0.00013575659295649316
-0.0515,51.5511,174.76999999999998,RX_3685,0.00016363678041837672
-0.0515,51.551,175.11,RX_3686,0.00013605839338831505
-0.0515,51.551,174.26,RX_3686,0.00013605839338831505
-0.0515,51.551,174.36,RX_3686,0.00013605839338831505
-0.0515,51.551,173.7,RX_3686,0.00013605839338831505
-0.0515,51.551,174.07999999999998,RX_3686,0.00013605839338831505
-0.0515,51.5509,174.86,RX_3692,0.00013826755044081583
-0.0515,51.5509,174.55,RX_3692,0.00013826755044081583
-0.0516,51.5509,174.07,RX_3694,2.6059705336304526e-05
-0.0516,51.5509,174.35000000000002,RX_3694,2.6059705336304526e-05
-0.0516,51.5509,174.71,RX_3694,2.6059705336304526e-05
-0.0517,51.5509,174.59,RX_3697,9.769272874738626e-05
-0.0517,51.5509,174.78,RX_3697,9.769272874738626e-05
-0.0518,51.5509,173.45,RX_3698,0.0002073553352756887
-0.0518,51.5508,174.62,RX_3699,0.00012904609287766697
-0.0519,51.5508,174.74,RX_3701,5.1473082005944814e-05
-0.0519,51.5508,175.89,RX_3701,5.1473082005944814e-05
-0.052,51.5508,175.3,RX_3703,0.00014922255356526471
-0.052,51.5508,173.79000000000002,RX_3703,0.00014922255356526471
-0.0521,51.5508,173.07,RX_3705,0.00015127289054363554
