name,lon,lat,local_measurement_dBm,path_loss_dB
RX_1434,-0.092200,51.528400,-95.36,143.16
RX_1435,-0.092100,51.528400,-95.86,143.66
RX_1435,-0.092100,51.528400,-98.46,146.26
RX_1438,-0.092000,51.528300,-94.94,142.74
RX_1438,-0.092000,51.528300,-95.59,143.39
RX_1439,-0.091900,51.528400,-98.22,146.02
RX_1439,-0.091900,51.528400,-102.36,150.16
RX_1439,-0.091900,51.528400,-104.49,152.29
RX_1444,-0.091900,51.528500,-103.87,151.67
RX_1444,-0.091900,51.528500,-101.88,149.68
RX_1444,-0.091900,51.528500,-100.03,147.83
RX_1444,-0.091900,51.528500,-104.19,151.99
RX_1446,-0.091900,51.528600,-106.15,153.95
RX_1446,-0.091900,51.528600,-106.55,154.35
RX_1446,-0.091900,51.528600,-106.73,154.53
RX_1446,-0.091900,51.528600,-103.22,151.02
RX_1446,-0.091900,51.528600,-104.36,152.16
RX_1453,-0.091900,51.528700,-104.67,152.47
RX_1453,-0.091900,51.528700,-104.52,152.32
RX_1453,-0.091900,51.528700,-104.19,151.99
RX_1454,-0.092000,51.528700,-103.27,151.07
RX_1456,-0.092000,51.528800,-97.55,145.35
RX_1456,-0.092000,51.528800,-101.28,149.08
RX_1456,-0.092000,51.528800,-103.19,150.99
RX_1458,-0.092000,51.528900,-102.70,150.50
RX_1458,-0.092000,51.528900,-103.31,151.11
RX_1458,-0.092000,51.528900,-105.47,153.27
RX_1458,-0.092000,51.528900,-103.79,151.59
RX_1464,-0.092000,51.529000,-106.00,153.80
RX_1464,-0.092000,51.529000,-101.96,149.76
RX_1464,-0.092000,51.529000,-103.40,151.20
RX_1465,-0.092000,51.529100,-104.19,151.99
RX_1468,-0.092100,51.529100,-103.04,150.84
RX_1468,-0.092100,51.529100,-103.08,150.88
RX_1468,-0.092100,51.529100,-105.03,152.83
RX_1471,-0.092100,51.529200,-107.75,155.55
RX_1471,-0.092100,51.529200,-104.12,151.92
RX_1471,-0.092100,51.529200,-104.27,152.07
RX_1475,-0.092100,51.529300,-103.26,151.06
RX_1475,-0.092100,51.529300,-104.61,152.41
RX_1475,-0.092100,51.529300,-108.26,156.06
RX_1475,-0.092100,51.529300,-107.69,155.49
RX_1476,-0.092100,51.529400,-109.87,157.67
RX_1477,-0.092200,51.529400,-110.07,157.87
RX_1477,-0.092200,51.529400,-109.25,157.05
RX_1479,-0.092200,51.529500,-110.69,158.49
RX_1479,-0.092200,51.529500,-110.07,157.87
RX_1479,-0.092200,51.529500,-109.04,156.84
RX_1483,-0.092200,51.529600,-110.59,158.39
RX_1483,-0.092200,51.529600,-109.76,157.56
RX_1483,-0.092200,51.529600,-112.50,160.30
RX_1483,-0.092200,51.529600,-110.09,157.89
RX_1486,-0.092200,51.529700,-111.72,159.52
RX_1486,-0.092200,51.529700,-111.13,158.93
RX_1488,-0.092300,51.529700,-110.64,158.44
RX_1491,-0.092300,51.529800,-111.03,158.83
RX_1491,-0.092300,51.529800,-111.56,159.36
RX_1491,-0.092300,51.529800,-108.98,156.78
RX_1492,-0.092300,51.529900,-108.35,156.15
RX_1494,-0.092400,51.529900,-110.33,158.13
RX_1494,-0.092400,51.529900,-106.27,154.07
RX_1497,-0.092400,51.530000,-107.63,155.43
RX_1497,-0.092400,51.530000,-110.08,157.88
RX_1497,-0.092400,51.530000,-108.03,155.83
RX_1497,-0.092400,51.530000,-107.05,154.85
RX_1499,-0.092400,51.530100,-109.55,157.35
RX_1499,-0.092400,51.530100,-107.23,155.03
RX_1499,-0.092400,51.530100,-108.96,156.76
RX_1499,-0.092400,51.530100,-108.36,156.16
RX_1504,-0.092400,51.530200,-105.09,152.89
RX_1504,-0.092400,51.530200,-102.58,150.38
RX_1504,-0.092400,51.530200,-103.66,151.46
RX_1506,-0.092500,51.530200,-104.58,152.38
RX_1506,-0.092500,51.530200,-108.01,155.81
RX_1508,-0.092500,51.530300,-109.81,157.61
RX_1508,-0.092500,51.530300,-107.09,154.89
RX_1508,-0.092500,51.530300,-110.72,158.52
RX_1508,-0.092500,51.530300,-108.28,156.08
RX_1508,-0.092500,51.530300,-102.92,150.72
RX_1515,-0.092500,51.530400,-106.56,154.36
RX_1515,-0.092500,51.530400,-111.20,159.00
RX_1515,-0.092500,51.530400,-109.95,157.75
RX_1518,-0.092500,51.530500,-109.75,157.55
RX_1518,-0.092500,51.530500,-106.61,154.41
RX_1518,-0.092500,51.530500,-107.36,155.16
RX_1521,-0.092600,51.530600,-108.44,156.24
RX_1521,-0.092600,51.530600,-107.00,154.80
RX_1521,-0.092600,51.530600,-107.25,155.05
RX_1521,-0.092600,51.530600,-111.14,158.94
RX_1521,-0.092600,51.530600,-111.29,159.09
RX_1524,-0.092600,51.530700,-102.28,150.08
RX_1524,-0.092600,51.530700,-106.28,154.08
RX_1524,-0.092600,51.530700,-109.91,157.71
RX_1527,-0.092600,51.530800,-109.32,157.12
RX_1528,-0.092700,51.530800,-110.95,158.75
RX_1528,-0.092700,51.530800,-111.04,158.84
RX_1531,-0.092700,51.530900,-111.87,159.67
RX_1531,-0.092700,51.530900,-112.79,160.59
RX_1531,-0.092700,51.530900,-109.27,157.07
RX_1536,-0.092700,51.531000,-108.03,155.83
RX_1536,-0.092700,51.531000,-107.88,155.68
RX_1536,-0.092700,51.531000,-109.17,156.97
RX_1536,-0.092700,51.531000,-112.18,159.98
RX_1537,-0.092700,51.531100,-110.41,158.21
RX_1540,-0.092800,51.531100,-109.64,157.44
RX_1540,-0.092800,51.531100,-109.21,157.01
RX_1540,-0.092800,51.531100,-105.08,152.88
RX_1543,-0.092800,51.531200,-109.09,156.89
RX_1543,-0.092800,51.531200,-109.37,157.17
RX_1543,-0.092800,51.531200,-106.92,154.72
RX_1544,-0.092800,51.531300,-106.47,154.27
RX_1544,-0.092800,51.531300,-104.57,152.37
RX_1544,-0.092800,51.531300,-101.18,148.98
RX_1547,-0.092800,51.531400,-100.31,148.11
RX_1548,-0.092900,51.531400,-104.86,152.66
RX_1552,-0.092900,51.531500,-104.45,152.25
RX_1552,-0.092900,51.531500,-104.30,152.10
RX_1552,-0.092900,51.531500,-107.48,155.28
